,cutoff,round.PhiValue..3.,round.DegreeValue..3.,round.StrengthValue..3.,NetworkSizeValue,Weight.HetValue
1,1,0.461,10.061,79.152,33,9.41583793058913
2,1,0.235,5.2,36.4,15,8.43956043956044
3,1,0.61,11.75,64.75,24,5.86774008050604
4,1,162.267,18.686,145.257,35,12.2483295919079
5,1,132.736,15.037,61.037,27,4.76370223348797
6,1,0.485,9.188,45.688,32,5.86852415384759
7,1,0.506,10.976,60.683,41,14.0595355484101
8,1,0.527,10.72,60.08,25,8.50870481149512
9,1,0.542,10.703,56.595,37,5.55739341842494
10,1,0.579,11.037,56.963,27,7.79471291051745
11,1,0.371,7.724,49.103,29,5.5585874799358
12,1,0.535,5.571,22.857,14,3.6224358974359
13,1,0.5,9.568,44.324,37,9.83308529695466
14,1,0.424,14.049,142.878,41,11.7434835078335
15,1,0.208,7.647,96.353,17,14.6735042735043
16,1,152.481,13,77.444,36,7.35837349323719
17,1,0.436,8.533,62.667,15,12.0222074468085
18,10,0.409,5.462,24.154,26,5.54561765497443
19,10,0.397,6.762,35.238,42,5.10224590787971
20,10,0.272,5.765,40.529,34,4.56155030952875
21,10,0.372,4.5,21.333,12,5.11863425925926
22,10,0.103,3.429,27.257,35,12.2617400419287
23,10,0.356,6.214,44.857,28,5.84848817629402
24,10,0.23,4.24,28.56,25,10.3033666296707
25,10,0.075,3.143,20.857,28,4.46637608966376
26,10,0.367,6.957,45.478,23,5.52177342256214
27,10,0.17,3.926,26.37,27,6.5189739241043
28,10,0.086,5.024,58.098,41,8.75679244821599
29,10,0.267,4.432,30.324,37,4.66834050693448
30,10,0.263,8.571,93.657,35,10.4430709782388
31,10,0.238,5.037,32.222,27,7.93627450980392
32,20,0.201,5.875,81.125,32,8.42723666524604
33,20,0.101,3.3,26,20,5.52121212121212
34,20,0.062,1.692,5.538,13,1.89393939393939
35,20,0.097,1.75,6,8,3.07142857142857
36,20,0.212,3.615,25.385,26,3.93023855577047
37,20,0.297,3.818,16.667,33,4.16946608946609
38,20,0.072,4.1,34,20,8.97790530846485
39,20,0.227,4.276,34,29,5.00376235032389
40,20,0.146,5.655,69.931,29,10.6341463414634
41,20,0.121,2.957,17.391,23,6.13764705882353
42,20,0.213,3.565,22.783,23,3.31204617389685
43,40,0.178,2.476,19.524,21,4.62757973733583
44,40,0.124,2.7,12.4,20,2.34289127837515
45,40,33.151,1.75,18.25,8,9.33855185909981
46,40,20.501,1.667,14,6,10.647619047619
47,40,0.165,2.875,10.625,16,4.85728900255755
48,40,0.08,2.857,16.143,14,5.19070796460177
49,40,15.211,2,9,4,2.83333333333333
50,40,0.156,4,32.118,17,7.69586296056884
51,1,0.722,13.455,72.727,22,4.72459459459459
52,1,0.82,12.632,68.105,19,7.32703503348789
53,1,1.025,16.636,77.727,22,4.59921388169878
54,1,0.343,5.8,37.2,10,4.01631442343344
55,1,0.534,12,94.947,19,10.9591161940328
56,1,0.479,7.333,41.333,12,5.71847507331378
57,1,1.1,16.87,70.522,23,4.64942733293503
58,10,0.864,15.273,78.909,22,4.77342549923195
59,10,0.541,7.167,36.833,12,4.68399452804378
60,10,0.372,9.684,88.211,19,11.693213655702
61,10,0.882,15.091,70.455,22,4.75713175281772
62,10,0.359,5.4,31.2,10,4.23504273504273
63,10,0.838,12.444,64.667,18,7.63518654884634
64,10,0.963,15.391,63.043,23,4.66671342294954
65,20,0.437,7.652,37.304,23,4.54458041958042
66,20,0.438,8.778,55.111,18,7.66909963250306
67,20,0.153,3.818,23.273,11,5.31101190476191
68,20,0.255,5.375,53.875,16,10.953542329898
69,20,0.578,10.273,54,22,4.46053454903013
70,20,0.363,6.909,40.273,22,4.4171022929785
71,40,0.253,3.909,18.545,22,4.02051983584131
72,40,0.192,4.667,33.333,15,5.75314285714286
73,40,0.164,4,21,10,4.37857142857143
74,40,0.246,3.273,19,22,3.4623870281765
75,40,0.092,2.909,13.636,11,4.36583333333333
76,40,0.408,7.727,45.273,22,4.81989133002599